MaterialID,ArtefactID,MonumentID,LocationID,Findspot,FindspotCertainty,FindspotChecked,DateFrom,DateTo,DateChecked,DateNote,Materiality,ModernHolding,HoldingData,Publication,MaterialNote,DBInclusionReason,Media
112,,112,,,,,42,100,,,NA,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=PEC0009117
113,,113,,,,,1,100,,,lapis,,,,,,
114,,114,,,,,42,69,,,lapis,,,,,,
115,,115,,,,,108,130,,,lapis,"Sarajevo, Zem. Muz.",,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$ILJug-03_01627_1.jpg;$ILJug-03_01627_2.jpg
116,,116,,,,,1,150,,,NA,,,,,,
117,,117,,,,,71,100,,,lapis,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=PH0012436;pp
118,,118,,,,,1,42,,,lapis,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-VII_00032_1.jpg;$Legio-VII_00032_2.jpg;pp
119,,119,,,,,1,42,,,lapis,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-VII_00063_1.jpg;$Legio-VII_00063_2.jpg
120,,120,,,,,1,50,,,lapis,,,,,,
121,,121,,,,,31,70,,,NA,,,,,,
122,,122,,,,,101,150,,,lapis,,,,,,
123,,123,,,,,1,100,,,lapis,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=PH0012437;pp
124,,124,,,,,1,70,,,lapis,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=PH0012438;pp
125,,125,,,,,51,150,,,lapis,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=PH0012434;pp
126,,126,,,,,31,70,,,lapis,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=PH0012439;pp
127,,127,,,,,51,100,,,lapis,,,,,,
128,,128,,,,,51,150,,,lapis,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=PH0012412
129,,129,,,,,21,30,,,lapis,,,,,,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-VII_00060.jpg;pp
130,,130,,,,,1,100,,,lapis,,,,,,
